price,area,price_per_m2,bedroom,toilet,location,description
"20,98 tỷ",96 m²,"218,52 tr/m²",8,8,"Văn Giang, Hưng Yên","* PT.TV-48, căn quảng trường duy nhất còn sót lại. - Mặt tiền: 7m, 2 mặt tiền, view sông. - Diện tích XD tầng 1: 92,8m². - Tổng DTXD: 476,3m², 5 tầng + 1 tum. + Giá: 23,386 tỷ. - Vốn tự có 7,09 tỷ. - Ngân hàng giải ngân: 16,295 tỷ (miễn lãi + gốc 22 tháng). + Nhận cam kết tiền thuê: 2,651 tỷ trong 30 tháng, 88,3tr/1 tháng. + Giá thanh toán sớm và nhận luôn tiền thuê ck 19%: 19,042 tỷ. * Tặng xe VF9 trị giá 2,5 tỷ cho chủ nhân mua trong tháng này...."
"6,5 tỷ",162 m²,"40,12 tr/m²",4,3,"Quận 7, Hồ Chí Minh","Khu North: Quản lý 100% căn hộ Sunrise City, call: 0944 722 ***. + 53m² - 56m² giá 2.5 - 2,7 tỷ. Hỗ trợ vay ngân hàng 70% giá trị căn hộ trong 20 năm. + 65m² giá 3,3 tỷ. + 77m² giá 3,45 - 3.6 tỷ. + 95m² giá 3,8 tỷ. + 97m² giá 4,1 tỷ. + 108m² giá 4.5 tỷ. + 112m² giá 5 tỷ. + 124m² giá 5,5 tỷ. Khu Central: + 76m² giá 3.8 tỷ. + 99m² giá 4,3 tỷ. + 120m² giá 5,7 tỷ. + 147m² giá 6,5 tỷ. Khu South: + 59m², 1PN. Giá bán: 2.8 tỷ. + 69m², 2PN. Giá bán: 3 tỷ. ..."
Giá thỏa thuận,"239,7 m²",,,,"Tây Hồ, Hà Nội","Tôi cần bán gấp biệt thự song lập lô góc K5 Starlake. Diện tích: 239,7m². Mặt tiền 11,5m. Xây dựng 3 tầng và 1 tum. Vị trí lô góc bên cạnh là vườn hoa đẹp nhất dự án. Hướng Nam mát mẻ. Pháp lý: Đã có sổ đỏ. Là căn song lập duy nhất hướng Nam đẹp nhất dự án. Giá bán: Thỏa thuận trực tiếp giá tốt nhất thị trường. Liên hệ cô Nga chủ nhà: 0963 791 ***"
"1,35 tỷ",43 m²,"31,4 tr/m²",1,1,"Gia Lâm, Hà Nội","Xin gửi quý khách hàng bảng báo giá của các căn hộ chuyển nhượng tại Vinhomes Ocean Park, cam kết giá tốt - giá thật 100%. CH Studio 28m² thông thủy giá 1 tỷ. 30,5m² thông thủy giá 1,05 tỷ. 36m² thông thủy giá 1,2 tỷ. CH 1N + 1 43m² thông thủy giá 1,4 tỷ. 48m² thông thủy giá 1,5 tỷ. CH 2N 1WC 54m² thông thủy giá 1,7 tỷ. CH 2N 2WC 63m² thông thủy giá 1,85 tỷ. CH 2N 2WC + 1 góc 63m² thông thủy giá 2,2 tỷ. Ch 3N 2WC 75m² thông thủy giá 2,5 tỷ.Với 3 ..."
"6,1 tỷ",76 m²,"80,26 tr/m²",2,2,"Quận 2, Hồ Chí Minh","CHCC Lumiere Riverside căn 2PN chỉ 6.1 tỷ phòng được thiết kế hiện đại và tiện ích. LH 0931 866 ***. Dự án căn hộ Lumiere Riverside Quận 2 tọa lạc ngay vị trí đắc địa tại Mặt tiền Đường Xa Lộ Hà Nội, Phường An Phú, Quận 2, Hồ Chí Minh, khu căn hộ dễ dàng kết nối với các quận lân cận. Lumiere Riverside sẽ mang đến chất lượng sống vượt trội cho cộng đồng dân cư văn minh, đẳng cấp. Thiết kế: 2pn 2wc. Giá: 6 tỷ 1 còn thương lượng thêm. Nội thất cao cấp..."
"1,6 tỷ",246 m²,"6,5 tr/m²",,,"Bảo Lâm, Lâm Đồng","Bán Xả Lỗ Cuối Năm Anh Em Nhanh Tay chỉ 6,5tr/m² Địa chỉ: Xã Lộc Thành, Huyện Bảo Lâm, tỉnh Lâm Đồng. Diện tích: 246,2m. Mặt tiền: 5.5m. Mặt tiền lộ: 6.9m. Giá: 6,5 tr/m (giá mua trước 9tr). Đất full thổ cư, sổ hồng riêng. Gần trường học, nhà thờ, và chợ, đảm bảo cuộc sống tiện lợi và kết nối với cộng đồng. Liên hệ ngay SĐT: 0911 966 *** gặp Thơ để biết thêm chi tiết và tham quan trực tiếp đất nền đẹp này."
"4,45 tỷ",130 m²,"34,23 tr/m²",,,"Hà Đông, Hà Nội","- Căn hộ 3 - 4PN đẹp nhất dự án Hồ Gươm Plaza, nhận nhà ở trước tết nguyên đán. - Tiện ích đẳng cấp: Trung tâm thương mại, Highland Coffee, Siêu thị Big C, Điện máy Xanh, Rạp chiếu phim CGV, Buffet lẩu, nướng, Bể bơi 4 mùa và phòng tập thể thao Elite Fitness. - Căn hộ diện tích 130m² và căn góc 135m². - Giá chỉ từ 34 tr/m². - Đóng 30% nhận nhà ở ngay, tiến độ thanh toán: 3 năm (30% - 25% - 30% - 15%). * Đặc biệt chương trình quà tặng: + Nội thất ..."
"6,2 tỷ",76 m²,"81,58 tr/m²",2,2,"Quận 2, Hồ Chí Minh","Xin chào quý anh/chị quan tâm mua căn hộ Lumiere Riverside tại Quận 2. Hiếu đang quản lý các căn với đủ loại diện tích và giá tốt với tiêu chí làm việc nhanh nhất: - Văn phòng tại dự án, luôn có đội ngũ hỗ trợ 24/24 (kể cả tối muộn). - Sẵn nhiều chìa khóa các loại diện tích, xem đúng yêu cầu khách hàng. - Xem nhà ngay, không cần hẹn trước.Liên hệ cá nhân: 0932 700 ***Mr. Hiếu) - call/zalo. Hotline không ngủ: 0911 745 *** (24/24) - call/zalo.- Q..."
"5,29 tỷ",114 m²,"46,41 tr/m²",3,2,"Hoài Đức, Hà Nội","Mở bán căn hộ The Wisteria - Hinode Royal Park - cách ga Nhổn 800m.- Vị trí: Ưu thế hạ tầng giao thông bứt phá = Đường Vành Đai 3.5, tuyến Metro số 3, Trịnh Văn Bô kéo dài, đường 70. - Mua nhà từ móng có lợi thế về tiềm năng tăng giá. Hạ tầng khu đô thị hoàn chỉnh, khu vực dân cư đông đúc. Đầy đủ các tiện ích, công viên bệnh viện, trường học... - Chủ đầu tư: Wto, nhà thầu uy tín: Ecoba, quản lý dự án căn hộ: Leben Community (Nhật). - Tổng số căn ..."
"20,52 tỷ","127,5 m²","160,91 tr/m²",,,"Văn Giang, Hưng Yên","Siêu phẩm view sông đẹp long lanh. Là nút giao giữa cầu Đông Tây và quảng trường trung tâm. PT. TV - 134.Tổng DTXD: 409 m². Tổng DT đất: 127,5 m². Trong đó: - DTXD tầng 1: 79,5m². - DT sân vườn: 48m².5 tầng 1 tum. Sở hữu 2 mặt tiền, mỗi mặt tiền rộng 6m. Căn shop ngay tại mặt sông lớn - lên tới 36m mặt nước. Nhìn thẳng cầu Đông Tây, sông Venice có cầu dài 26m. Bên cạnh là quảng trường trung tâm 6900m² đài phun nước. Một vị trí cực đông khách du l..."
